"1","Abartmak, küçültmekten milyarlarca kez daha kötüdür! "
"1","Başkalarının düşüncelerini duymayı tahammül edemeyen birisi, faşistsiniz diye bağırıyor."
"1","Bilgisayarım klavyeyi algılamadığı için, klavyedeki geri tuşuna basmamı istiyor."
"1","Bugün sadece bir kilocuk et yedim."
"1","Çocuğumu uyutmaya çalışırken uyuya kalan baba, bebeğini saat 04:00'te hala uyanık görünce çaresizce eşini aradı..."
"1","Dünyaya bakınca her yer su ama tuzdan ötürü içilecek bir damla suyu bulmak çok zor."
"1","Eğer hükümet işsizlikle savaşsaydı, insanların eleştirecek bu kadar boş vakti olmazdı."
"1","Fenerbahçe'yi bir sürü borca sokan adam, ülkede yılın spor adamı seçilmiş."
"1","Oda 20 derece de olsa, 5 derece de olsa bu oda sıcaklığıdır..."
"1","Realist olduğunu söyleyen gençler, kötü haber duymamak için gazete okumadıklarını söylediler."
"0","Antartika'da kara üzerindeki en derin nokta bulundu."
"0","Cumhuriyet 1923 yılında kuruldu."
"0","Dağda yürüyüş yaparken kalbi durdu, 6 saat sonra hastanede hayata döndürüldü."
"0","Her gün düzenli yürümenin sayısız faydası bulunuyor. 🏃🏻‍♂️"
"0","İzlanda büyümeyi değil, insanı önceleyen 'mutluluk ekonomisine' geçiyor."
"0","Japonya nasıl bu kadar temiz bir ülke olabiliyor?"
"0","Rusya ve Çin, Suriye'ye sınır ötesi yardımları veto etti."
"0","Sağlık Bakanı Koca'nın 'Ispanaktan değil yabani otlardan kaynaklanıyor' dediği besin zehirlenmeleri ile ilgili neler biliniyor?"
"0","Twitter siyasetle ilişkili reklamları yasaklıyor."
"0","Uluslararası Ceza Mahkemesi, Batı Şeria ve Gazze'de yaşananlar nedeniyle savaş suçları soruşturması açmak istiyor."
"1","Bahamalar'a tatile gelen çiftlerin, yanların su getirmesi ne kadar da komik."
"1","Din üzerine rezervasyonlar ile alım yapan bir üniversite, sekülerizm ile savaşıyor."
"1","Dolmabahçe Sarayı'ndaki altın temalı mütevazi (!) törene yalnızca 3000 kişi katıldı."
"1","Gerçekten tebrik ederim, bu mantıklı (!) açıklama beni çok tatmin etti."
"1","İddiaya girerim ki kumarı bırakabilirim!"
"1","İngiltere'nin en büyük köpeğinin adı Minik."
"1","Özgürlük anıtının ayaklarının yere sabit olması nasıl bir tezattır!"
"1","Patronumuzun bana emanet ettiği sırrı sadece 7 kişiye anlattım hepsi bu 🤐🤐"
"1","Sınava geç kaldım, aferin bana!"
"1","Vegan bir arkadaşım sürekli deri ceketler giyiyor."
"0","2 saat boyunca kalbi duran çocuk hayata döndü."
"0","Bilim adamları buzdolabında bir yıl dayanan yeni elma türü keşfettiler."
"0","Çalışanlara iş yerinde uyku izni verilmeli mi?"
"0","Dünyada şeker tüketimi neden arttı, ne tür önlemler alınabilir?"
"0","Elon Musk, Tesla'nın yeni pick-up modelini tanıttı."
"0","🏆🏆 Juventus'u deviren Lazio, Süper Kupa'nın sahibi oldu. 🏆🏆"
"0","Rusya tüm büyük spor etkinliklerinden men edilme riskiyle karşı karşıya."
"0","Sağlıklı bir yaşamın yolunun iyi uykudan geçtiği söyleniyor."
"0","Tütün mamullerinde tek tip pakete geçildi, uygulamanın etkileri tartışılıyor."
"0","Uzayda inek hücrelerinden 3 boyutlu yazıcıyla biftek üretildi."
"1","Amerika son 10 yılda uyuşturucuyla mücadele için verdiği 780 milyon dolar ile uyuşturucunun %10 oranda yaygınlaşmasını sağladı..."
"1","Bu harika sarımsak kokusu sayesinde uyuyamıyorum!"
"1","Ekonomimiz öyle iyi bir halde ki, enflasyon 3 haneli sayılara çıkacak."
"1","Fabrikadaki mühendis, kendisinin yerine alacak robotların satın almasını gerçekleştirdi."
"1","Hareketlerimin sorumluluğunu almamak benim suçum değil."
"1","İtfaiye merkezinde kötü bir yangın çıkmış."
"1","Öfke kontrolüne sahibim diyorum size neden anlamıyorsunuz!!!"
"1","Polis memuru alkollü araba kullanmaktan ehliyetini kaptırmış."
"1","Sabahın köründe kalktığım için işe girerken de çıkarken de hava karanlık oluyor, yaşasın çalışma hayatı -,-"
"1","Yeğenlerim kedi köpek gibi iyi anlaşırlar."
"0","Apple'ın çevrimiçi dizi ve film platformu Apple TV plus 100'den fazla ülkede kullanıma açıldı."
"0","Bağırsak bakterileri kanser tedavisini güçlendiriyor."
"0","Eski Galatasaray'lı  Wesley Sneijder futbolu bıraktı."
"0","Felçli hasta zihniyle kol ve bacaklarını hareket ettirdi."
"0","Galatasaray Fenerbahçe ile berabere kaldı."
"0","Google'ın Türkiye'de yeni çıkacak Android cihazlarla ilgili kararı ne anlama geliyor?"
"0","Hafta sonu meteor yağmurları gözlemlenebilecek."
