0	1	a	Abartmak, küçültmekten milyarlarca kez daha kötüdür! 
1	1	a	Başkalarının düşüncelerini duymayı tahammül edemeyen birisi, faşistsiniz diye bağırıyor.
2	1	a	Bilgisayarım klavyeyi algılamadığı için, klavyedeki geri tuşuna basmamı istiyor.
3	1	a	Bugün sadece bir kilocuk et yedim.
4	1	a	Çocuğumu uyutmaya çalışırken uyuya kalan baba, bebeğini saat 04:00'te hala uyanık görünce çaresizce eşini aradı...
5	1	a	Dünyaya bakınca her yer su ama tuzdan ötürü içilecek bir damla suyu bulmak çok zor.
6	1	a	Eğer hükümet işsizlikle savaşsaydı, insanların eleştirecek bu kadar boş vakti olmazdı.
7	1	a	Fenerbahçe'yi bir sürü borca sokan adam, ülkede yılın spor adamı seçilmiş.
8	1	a	Oda 20 derece de olsa, 5 derece de olsa bu oda sıcaklığıdır...
9	1	a	Realist olduğunu söyleyen gençler, kötü haber duymamak için gazete okumadıklarını söylediler.
10	0	a	Antartika'da kara üzerindeki en derin nokta bulundu.
11	0	a	Cumhuriyet 1923 yılında kuruldu.
12	0	a	Dağda yürüyüş yaparken kalbi durdu, 6 saat sonra hastanede hayata döndürüldü.
13	0	a	Her gün düzenli yürümenin sayısız faydası bulunuyor. 🏃🏻‍♂️
14	0	a	İzlanda büyümeyi değil, insanı önceleyen 'mutluluk ekonomisine' geçiyor.
15	0	a	Japonya nasıl bu kadar temiz bir ülke olabiliyor?
16	0	a	Rusya ve Çin, Suriye'ye sınır ötesi yardımları veto etti.
17	0	a	Sağlık Bakanı Koca'nın 'Ispanaktan değil yabani otlardan kaynaklanıyor' dediği besin zehirlenmeleri ile ilgili neler biliniyor?
18	0	a	Twitter siyasetle ilişkili reklamları yasaklıyor.
19	0	a	Uluslararası Ceza Mahkemesi, Batı Şeria ve Gazze'de yaşananlar nedeniyle savaş suçları soruşturması açmak istiyor.
20	1	a	Bahamalar'a tatile gelen çiftlerin, yanların su getirmesi ne kadar da komik.
21	1	a	Din üzerine rezervasyonlar ile alım yapan bir üniversite, sekülerizm ile savaşıyor.
22	1	a	Dolmabahçe Sarayı'ndaki altın temalı mütevazi (!) törene yalnızca 3000 kişi katıldı.
23	1	a	Gerçekten tebrik ederim, bu mantıklı (!) açıklama beni çok tatmin etti.
24	1	a	İddiaya girerim ki kumarı bırakabilirim!
25	1	a	İngiltere'nin en büyük köpeğinin adı Minik.
26	1	a	Özgürlük anıtının ayaklarının yere sabit olması nasıl bir tezattır!
27	1	a	Patronumuzun bana emanet ettiği sırrı sadece 7 kişiye anlattım hepsi bu 🤐🤐
28	1	a	Sınava geç kaldım, aferin bana!
29	1	a	Vegan bir arkadaşım sürekli deri ceketler giyiyor.
30	0	a	2 saat boyunca kalbi duran çocuk hayata döndü.
31	0	a	Bilim adamları buzdolabında bir yıl dayanan yeni elma türü keşfettiler.
32	0	a	Çalışanlara iş yerinde uyku izni verilmeli mi?
33	0	a	Dünyada şeker tüketimi neden arttı, ne tür önlemler alınabilir?
34	0	a	Elon Musk, Tesla'nın yeni pick-up modelini tanıttı.
35	0	a	🏆🏆 Juventus'u deviren Lazio, Süper Kupa'nın sahibi oldu. 🏆🏆
36	0	a	Rusya tüm büyük spor etkinliklerinden men edilme riskiyle karşı karşıya.
37	0	a	Sağlıklı bir yaşamın yolunun iyi uykudan geçtiği söyleniyor.
38	0	a	Tütün mamullerinde tek tip pakete geçildi, uygulamanın etkileri tartışılıyor.
39	0	a	Uzayda inek hücrelerinden 3 boyutlu yazıcıyla biftek üretildi.
40	1	a	Amerika son 10 yılda uyuşturucuyla mücadele için verdiği 780 milyon dolar ile uyuşturucunun %10 oranda yaygınlaşmasını sağladı...
41	1	a	Bu harika sarımsak kokusu sayesinde uyuyamıyorum!
42	1	a	Ekonomimiz öyle iyi bir halde ki, enflasyon 3 haneli sayılara çıkacak.
43	1	a	Fabrikadaki mühendis, kendisinin yerine alacak robotların satın almasını gerçekleştirdi.
44	1	a	Hareketlerimin sorumluluğunu almamak benim suçum değil.
45	1	a	İtfaiye merkezinde kötü bir yangın çıkmış.
46	1	a	Öfke kontrolüne sahibim diyorum size neden anlamıyorsunuz!!!
47	1	a	Polis memuru alkollü araba kullanmaktan ehliyetini kaptırmış.
48	1	a	Sabahın köründe kalktığım için işe girerken de çıkarken de hava karanlık oluyor, yaşasın çalışma hayatı -,-
49	1	a	Yeğenlerim kedi köpek gibi iyi anlaşırlar.
50	0	a	Apple'ın çevrimiçi dizi ve film platformu Apple TV plus 100'den fazla ülkede kullanıma açıldı.
51	0	a	Bağırsak bakterileri kanser tedavisini güçlendiriyor.
52	0	a	Eski Galatasaray'lı  Wesley Sneijder futbolu bıraktı.
53	0	a	Felçli hasta zihniyle kol ve bacaklarını hareket ettirdi.
54	0	a	Galatasaray Fenerbahçe ile berabere kaldı.
55	0	a	Google'ın Türkiye'de yeni çıkacak Android cihazlarla ilgili kararı ne anlama geliyor?
56	0	a	Hafta sonu meteor yağmurları gözlemlenebilecek.
57	0	a	Komplo teorilerine inanmak ile akıl sağlığı arasında bir bağlantı var mı?
58	0	a	Macar insanları doğanın 5. kuvvetini bulduklarını öne sürdü.
59	0	a	Mahkeme Filistinlerin 2014'ten bu yana yaptığı bazı şikayetleri inceliyordu.
60	1	a	Bizi Afrin'e götür diyenler, bedelli askerlik sırası bekliyorlar.
61	1	a	Amerika'ya diktatörlük geldiğinde, 'yine diktatörlük ülkeye gelmesin diye silahlanmalıyız' diyen aynı kişiler diktatörlüğü destekleyecekler.
62	1	a	Bugün hiçbir şey yazmayacağım.
63	1	a	Dünyanın ilk HIV-pozitif sperm bankası Yeni Zelanda'da açıldı.
64	1	a	Falcılar, öngörülemez sebeplerden ötürü toplantıya katılamadılar.
65	1	a	New York'taki ofisimin 2 arka bloğunda başlayan inşaat 20. yaşını kutlamak üzere :)))))
66	1	a	Özgürlük şarkıları söyleyen hümanist sanatçımız, hapis cezası almamı istedi.
67	1	a	Popülerliğe katkıda bulunmamak için sosyal medya kullanarak mesaj göndermek.
68	1	a	Uyku tutmayınca, uyunamadığı için stres olunup daha da fazla uyuyamamak.
69	1	a	Vergi borcu var diye linç edilmeye çalışılan Aydın Doğan vergi rekortmeni oluyor.
70	0	a	Antibiyotiğe dirençli bakteri nedeniyle komaya giren hasta virüsle kurtarıldı.
71	0	a	Bazı bitkisel ilaçlar kanser tedavisine yarardan çok zarar veriyor.
72	0	a	Google iki yılda 2 milyar dolardan fazla ceza ödedi.
73	0	a	Hastanede yerde yatan çocuğun fotoğrafına bakmayan İngiltere Başbakanı Johnson'a eleştiri yağmuru geldi.
74	0	a	İngiltere'de Brexit yasa tasarısı Avam Kamarası'nda ilk engeli aştı.
75	0	a	Karaciğer için faydalı besinler hangileri?
76	0	a	Mucize çocuk Laurent, üniversiteden mezun olmasına günler kala okulu bıraktı.
77	0	a	Pakistan'da HIV virüsü çocuklar arasında neden yayılıyor?
78	0	a	Türkiye'de organik çay üretimi tavan yaptı.
79	0	a	Vladimir Putin'in hala Windows XP işletim sistemine sahip bir bilgisayar kullanıldığı öğrenildi.
80	1	a	ABD, Türkiye’ye ekonomik saldırı yaparken bize saldıran ülkenin parasına yatırım yapmak sizce de ironik değil mi?
81	1	a	Afrika'daki açlığı 5 dakikada bitirebilecek insanlar, bahşiş vermemek için sıraya giriyorlar.
82	1	a	Ben böyle uslu (!) bir çocuk görmedim. 
83	1	a	Denizli diyorlar denizi yok 🤔 🤔.
84	1	a	Gitmene ne de çok üzüldüm, anlatamam...
